region	chr	start	end	arm	cyto	overlappedGeneNumDensity	genename
chr1:174450001-174460000	chr1	174450001	174460000	1q	qH3	1	Or6y1
chr1:175530001-175540000	chr1	175530001	175540000	1q	qH3	1	
chr1:176310001-176320000	chr1	176310001	176320000	1q	qH4	1	
chr1:176500001-176510000	chr1	176500001	176510000	1q	qH4	1	Gm36536
chr1:176920001-176930000	chr1	176920001	176930000	1q	qH4	2	Sdccag8,Gm15423
chr1:177660001-177670000	chr1	177660001	177670000	1q	qH4	1	
chr1:182320001-182330000	chr1	182320001	182330000	1q	qH5	1	Fbxo28
chr1:183740001-183750000	chr1	183740001	183750000	1q	qH5	1	Gm34068
chr1:184020001-184030000	chr1	184020001	184030000	1q	qH5	1	Dusp10
chr1:187030001-187040000	chr1	187030001	187040000	1q	qH5	1	
chr1:187550001-187560000	chr1	187550001	187560000	1q	qH5	1	
chr1:190480001-190490000	chr1	190480001	190490000	1q	qH6	2	Gm23153
chr2:5400001-5410000	chr2	5400001	5410000	2p	qA1	1	Camk1d
chr2:10180001-10190000	chr2	10180001	10190000	2p	qA1	1	Itih5
chr2:11510001-11520000	chr2	11510001	11520000	2p	qA1	1	Pfkfb3
chr2:32560001-32570000	chr2	32560001	32570000	2p	qB	1	Eeig1
chr2:43690001-43700000	chr2	43690001	43700000	2p	qB	1	
chr2:44560001-44570000	chr2	44560001	44570000	2p	qB	1	Gtdc1
chr2:52820001-52830000	chr2	52820001	52830000	2p	qC1.1	1	
chr2:53690001-53700000	chr2	53690001	53700000	2p	qC1.1	1	Idi1-ps1
chr2:54570001-54580000	chr2	54570001	54580000	2p	qC1.1	1	Galnt13
chr2:58380001-58390000	chr2	58380001	58390000	2p	qC1.1	1	Acvr1
chr2:59500001-59510000	chr2	59500001	59510000	2p	qC1.1	1	Dapl1
chr2:64130001-64140000	chr2	64130001	64140000	2p	qC1.3	1	
chr2:72240001-72250000	chr2	72240001	72250000	2p	qC3	2	Rapgef4,Rapgef4os3
chr2:86370001-86380000	chr2	86370001	86380000	2p	qD	1	Or8j3b
chr2:88370001-88380000	chr2	88370001	88380000	2p	qD	1	
chr2:89610001-89620000	chr2	89610001	89620000	2p	qE1	2	Or4a74,Or4a75
chr2:110620001-110630000	chr2	110620001	110630000	2q	qE3	1	Slc5a12
chr2:114940001-114950000	chr2	114940001	114950000	2q	qE4	2	Gm28494,Gm13974
chr2:131840001-131850000	chr2	131840001	131850000	2q	qF1	3	5330413P13Rik,Gm14282,Gm14281
chr2:138760001-138770000	chr2	138760001	138770000	2q	qF3	1	
chr2:138850001-138860000	chr2	138850001	138860000	2q	qF3	1	
chr2:141830001-141840000	chr2	141830001	141840000	2q	qG1	2	Macrod2,Fau-ps1
chr2:144490001-144500000	chr2	144490001	144500000	2q	qG1	2	Dzank1,Zfp133-ps
chr2:150140001-150150000	chr2	150140001	150150000	2q	qG3	1	
chr2:155290001-155300000	chr2	155290001	155300000	2q	qH1	1	Pigu
chr2:168510001-168520000	chr2	168510001	168520000	2q	qH3	1	Nfatc2
chr2:170560001-170570000	chr2	170560001	170570000	2q	qH3	1	
chr2:178090001-178100000	chr2	178090001	178100000	2q	qH4	1	
chr2:178100001-178110000	chr2	178100001	178110000	2q	qH4	1	
chr2:179230001-179240000	chr2	179230001	179240000	2q	qH4	1	
chr2:179240001-179250000	chr2	179240001	179250000	2q	qH4	1	Gm14293
chr2:180190001-180200000	chr2	180190001	180200000	2q	qH4	1	Lama5
chr3:3300001-3310000	chr3	3300001	3310000	3p	qA1	1	
chr3:19800001-19810000	chr3	19800001	19810000	3p	qA2	1	
chr3:22630001-22640000	chr3	22630001	22640000	3p	qA3	1	
chr3:30170001-30180000	chr3	30170001	30180000	3p	qA3	1	Mecom
chr3:34350001-34360000	chr3	34350001	34360000	3p	qA3	2	Sox2ot,Gm38505
chr3:41640001-41650000	chr3	41640001	41650000	3p	qB	2	Sclt1,Gm38047
chr3:43900001-43910000	chr3	43900001	43910000	3p	qB	1	
chr3:49610001-49620000	chr3	49610001	49620000	3p	qC	1	
chr3:49990001-50000000	chr3	49990001	50000000	3p	qC	1	Slc7a11
chr3:65040001-65050000	chr3	65040001	65050000	3p	qE1	1	Kcnab1
chr3:69890001-69900000	chr3	69890001	69900000	3p	qE2	1	
chr3:70560001-70570000	chr3	70560001	70570000	3p	qE2	1	Gm37213
chr3:70970001-70980000	chr3	70970001	70980000	3p	qE2	1	
chr3:75870001-75880000	chr3	75870001	75880000	3p	qE3	2	Golim4
chr3:76130001-76140000	chr3	76130001	76140000	3p	qE3	1	Fstl5
chr3:84490001-84500000	chr3	84490001	84500000	3p	qF1	2	Arfip1,Gm37240
chr3:86880001-86890000	chr3	86880001	86890000	3p	qF1	1	Dclk2
chr3:88470001-88480000	chr3	88470001	88480000	3p	qF1	1	Gm5979
chr3:102680001-102690000	chr3	102680001	102690000	3q	qF2.2	2	Gm42677,Gm19202
chr3:111840001-111850000	chr3	111840001	111850000	3q	qF3	1	
chr3:112560001-112570000	chr3	112560001	112570000	3q	qF3	1	
chr3:118910001-118920000	chr3	118910001	118920000	3q	qG1	1	Dpyd
chr3:132500001-132510000	chr3	132500001	132510000	3q	qG3	1	
chr3:142580001-142590000	chr3	142580001	142590000	3q	qH1	1	
chr3:145730001-145740000	chr3	145730001	145740000	3q	qH2	1	Gm43408
chr3:148980001-148990000	chr3	148980001	148990000	3q	qH3	2	Adgrl2,Gm43573
chr3:151090001-151100000	chr3	151090001	151100000	3q	qH3	1	Gm43469
chr3:155270001-155280000	chr3	155270001	155280000	3q	qH4	1	Gm5285
chr3:155280001-155290000	chr3	155280001	155290000	3q	qH4	1	
chr4:4910001-4920000	chr4	4910001	4920000	4p	qA1	1	
chr4:8510001-8520000	chr4	8510001	8520000	4p	qA1	1	
chr4:9870001-9880000	chr4	9870001	9880000	4p	qA1	1	
chr4:17700001-17710000	chr4	17700001	17710000	4p	qA2	1	
chr4:20830001-20840000	chr4	20830001	20840000	4p	qA3	1	
chr4:22090001-22100000	chr4	22090001	22100000	4p	qA3	1	
chr4:27930001-27940000	chr4	27930001	27940000	4p	qA3	1	
chr4:28740001-28750000	chr4	28740001	28750000	4p	qA4	1	
chr4:38010001-38020000	chr4	38010001	38020000	4p	qA5	1	
chr4:43160001-43170000	chr4	43160001	43170000	4p	qA5	1	Unc13b
chr4:46920001-46930000	chr4	46920001	46930000	4p	qB1	1	Gabbr2
chr4:66180001-66190000	chr4	66180001	66190000	4q	qC1	1	Astn2
chr4:77750001-77760000	chr4	77750001	77760000	4q	qC3	1	Ptprd
chr4:84590001-84600000	chr4	84590001	84600000	4q	qC4	1	Bnc2
chr4:89170001-89180000	chr4	89170001	89180000	4q	qC4	1	Mtap
chr4:94340001-94350000	chr4	94340001	94350000	4q	qC5	1	Gm12648
chr4:98330001-98340000	chr4	98330001	98340000	4q	qC6	1	0610025J13Rik
chr4:100480001-100490000	chr4	100480001	100490000	4q	qC6	1	Ube2u
chr4:100830001-100840000	chr4	100830001	100840000	4q	qC6	1	Cachd1
chr4:101660001-101670000	chr4	101660001	101670000	4q	qC6	1	
chr4:103530001-103540000	chr4	103530001	103540000	4q	qC6	1	Gm12720
chr4:103970001-103980000	chr4	103970001	103980000	4q	qC6	1	Dab1
chr4:108240001-108250000	chr4	108240001	108250000	4q	qC7	1	Zyg11b
chr4:113120001-113130000	chr4	113120001	113130000	4q	qD1	1	Skint6
chr4:118720001-118730000	chr4	118720001	118730000	4q	qD2.1	1	Or13p8
chr4:119910001-119920000	chr4	119910001	119920000	4q	qD2.1	1	Hivep3
chr4:123250001-123260000	chr4	123250001	123260000	4q	qD2.2	1	Gm12901
chr4:123410001-123420000	chr4	123410001	123420000	4q	qD2.2	2	Macf1,NA
chr4:125530001-125540000	chr4	125530001	125540000	4q	qD2.2	1	Grik3
chr4:132620001-132630000	chr4	132620001	132630000	4q	qD2.3	1	
chr4:141350001-141360000	chr4	141350001	141360000	4q	qD3	2	Gm13076,Gm13074
chr4:154960001-154970000	chr4	154960001	154970000	4q	qE2	3	Pank4,Hes5,Gm20421
chr5:9150001-9160000	chr5	9150001	9160000	5p	qA1	2	Dmtf1,Tmem243
chr5:16430001-16440000	chr5	16430001	16440000	5p	qA3	1	
chr5:22010001-22020000	chr5	22010001	22020000	5p	qA3	1	Reln
chr5:22840001-22850000	chr5	22840001	22850000	5p	qA3	1	Lhfpl3
chr5:36040001-36050000	chr5	36040001	36050000	5p	qB3	1	Sorcs2
chr5:36270001-36280000	chr5	36270001	36280000	5p	qB3	1	Sorcs2
chr5:38990001-39000000	chr5	38990001	39000000	5p	qB3	1	
chr5:40390001-40400000	chr5	40390001	40400000	5p	qB3	1	
chr5:45590001-45600000	chr5	45590001	45600000	5p	qB3	1	Fam184b
chr5:51960001-51970000	chr5	51960001	51970000	5q	qC1	1	
chr5:53130001-53140000	chr5	53130001	53140000	5q	qC1	1	Sel1l3
chr5:53140001-53150000	chr5	53140001	53150000	5q	qC1	2	Sel1l3,NA
chr5:61660001-61670000	chr5	61660001	61670000	5q	qC3.1	1	
chr5:72500001-72510000	chr5	72500001	72510000	5q	qC3.2	1	Corin
chr5:78950001-78960000	chr5	78950001	78960000	5q	qD	1	
chr5:83610001-83620000	chr5	83610001	83620000	5q	qE1	1	
chr5:88810001-88820000	chr5	88810001	88820000	5q	qE1	1	Gm42912
chr5:98830001-98840000	chr5	98830001	98840000	5q	qE3	1	
chr5:120400001-120410000	chr5	120400001	120410000	5q	qF	1	
chr5:120860001-120870000	chr5	120860001	120870000	5q	qF	1	Oas1h
chr5:127460001-127470000	chr5	127460001	127470000	5q	qG1.2	1	Tmem132c
chr5:131550001-131560000	chr5	131550001	131560000	5q	qG2	1	Auts2
chr5:132660001-132670000	chr5	132660001	132670000	5q	qG2	1	
chr6:5250001-5260000	chr6	5250001	5260000	6p	qA1	1	Pon3
chr6:6820001-6830000	chr6	6820001	6830000	6p	qA1	2	Dlx6os1
chr6:13100001-13110000	chr6	13100001	13110000	6p	qA1	1	
chr6:16960001-16970000	chr6	16960001	16970000	6p	qA2	1	
chr6:22590001-22600000	chr6	22590001	22600000	6p	qA3.1	1	
chr6:23740001-23750000	chr6	23740001	23750000	6p	qA3.1	2	Cadps2
chr6:25100001-25110000	chr6	25100001	25110000	6p	qA3.1	1	
chr6:30590001-30600000	chr6	30590001	30600000	6p	qA3.3	1	Cpa4
chr6:32780001-32790000	chr6	32780001	32790000	6p	qA3.3	1	
chr6:36420001-36430000	chr6	36420001	36430000	6p	qB1	2	Mir490,Chrm2
chr6:40080001-40090000	chr6	40080001	40090000	6p	qB1	1	Tmem178b
chr6:43380001-43390000	chr6	43380001	43390000	6p	qB2.1	1	Tpk1
chr6:47010001-47020000	chr6	47010001	47020000	6p	qB2.3	1	Cntnap2
chr6:49860001-49870000	chr6	49860001	49870000	6p	qB2.3	1	
chr6:50730001-50740000	chr6	50730001	50740000	6p	qB2.3	1	
chr6:51600001-51610000	chr6	51600001	51610000	6p	qB3	1	
chr6:55000001-55010000	chr6	55000001	55010000	6p	qB3	1	
chr6:60080001-60090000	chr6	60080001	60090000	6q	qB3	1	Gm5570
chr6:84840001-84850000	chr6	84840001	84850000	6q	qC3	1	Exoc6b
chr6:87450001-87460000	chr6	87450001	87460000	6q	qD1	1	Arhgap25
chr6:95070001-95080000	chr6	95070001	95080000	6q	qD2	1	
chr6:96710001-96720000	chr6	96710001	96720000	6q	qD3	1	
chr6:97330001-97340000	chr6	97330001	97340000	6q	qD3	1	Frmd4b
chr6:110130001-110140000	chr6	110130001	110140000	6q	qE3	1	
chr6:114780001-114790000	chr6	114780001	114790000	6q	qE3	2	Atg7,Gm44331
chr6:116190001-116200000	chr6	116190001	116200000	6q	qE3	3	Gm8213,Tmcc1,9530062K07Rik
chr6:119480001-119490000	chr6	119480001	119490000	6q	qF1	2	Fbxl14,Wnt5b
chr6:121160001-121170000	chr6	121160001	121170000	6q	qF1	1	
chr6:128980001-128990000	chr6	128980001	128990000	6q	qF3	1	Clec2g
chr6:129120001-129130000	chr6	129120001	129130000	6q	qF3	2	Klrb1-ps1,
chr6:129760001-129770000	chr6	129760001	129770000	6q	qF3	1	Klrh1
chr6:134520001-134530000	chr6	134520001	134530000	6q	qG1	1	Lrp6
chr6:137190001-137200000	chr6	137190001	137200000	6q	qG1	1	
chr6:137480001-137490000	chr6	137480001	137490000	6q	qG1	1	Eps8
chr6:148490001-148500000	chr6	148490001	148500000	6q	qG3	1	
chr7:5360001-5370000	chr7	5360001	5370000	7p	qA1	1	Lgalsl2
chr7:10690001-10700000	chr7	10690001	10700000	7p	qA1	1	Nlrp4b
chr7:13160001-13170000	chr7	13160001	13170000	7p	qA1	1	Vmn1r88
chr7:14640001-14650000	chr7	14640001	14650000	7p	qA1	1	
chr7:17790001-17800000	chr7	17790001	17800000	7p	qA2	2	Gm6065,Gm45149
chr7:18560001-18570000	chr7	18560001	18570000	7p	qA3	1	Psg27
chr7:19490001-19500000	chr7	19490001	19500000	7p	qA3	2	Exoc3l2
chr7:35090001-35100000	chr7	35090001	35100000	7p	qB2	1	Gm35611
chr7:41370001-41380000	chr7	41370001	41380000	7p	qB3	1	AI987944
chr7:48490001-48500000	chr7	48490001	48500000	7p	qB4	1	Mrgprx2
chr7:48530001-48540000	chr7	48530001	48540000	7p	qB4	1	
chr7:49880001-49890000	chr7	49880001	49890000	7p	qB4	1	
chr7:50620001-50630000	chr7	50620001	50630000	7p	qB4	1	Nell1
chr7:67020001-67030000	chr7	67020001	67030000	7q	qC	1	Adamts17
chr7:72580001-72590000	chr7	72580001	72590000	7q	qD1	1	
chr7:74400001-74410000	chr7	74400001	74410000	7q	qD1	2	Slco3a1,Gm7580
chr7:77530001-77540000	chr7	77530001	77540000	7q	qD2	1	
chr7:81780001-81790000	chr7	81780001	81790000	7q	qD3	3	3110040N11Rik,Gm45845,Gm45016
chr7:95920001-95930000	chr7	95920001	95930000	7q	qE1	1	
chr7:99780001-99790000	chr7	99780001	99790000	7q	qE1	1	F730035P03Rik
chr7:113210001-113220000	chr7	113210001	113220000	7q	qF1	1	Bmal1
chr7:128990001-129000000	chr7	128990001	129000000	7q	qF3	1	Gm4768
chr7:131020001-131030000	chr7	131020001	131030000	7q	qF3	1	Fgfr2
chr7:132930001-132940000	chr7	132930001	132940000	7q	qF3	3	Zranb1,1500002F19Rik,Fgfr2
chr7:140090001-140100000	chr7	140090001	140100000	7q	qF4	2	Fuom,Prap1
chr7:140270001-140280000	chr7	140270001	140280000	7q	qF4	1	Scart2
chr7:141550001-141560000	chr7	141550001	141560000	7q	qF5	1	
chr8:14120001-14130000	chr8	14120001	14130000	8p	qA1.1	1	Dlgap2
chr8:18740001-18750000	chr8	18740001	18750000	8p	qA1.3	2	Mcph1,Angpt2
chr8:25040001-25050000	chr8	25040001	25050000	8p	qA2	2	Gm16933,Plekha2
chr8:33810001-33820000	chr8	33810001	33820000	8p	qA4	2	Rbpms,Gm26632
chr8:35180001-35190000	chr8	35180001	35190000	8p	qA4	1	Gm45625
chr8:35710001-35720000	chr8	35710001	35720000	8p	qA4	1	1700015I17Rik
chr8:41670001-41680000	chr8	41670001	41680000	8p	qA4	1	
chr8:43410001-43420000	chr8	43410001	43420000	8p	qA4	1	
chr8:45730001-45740000	chr8	45730001	45740000	centromere	qB1.1	2	Sorbs2,Sorbs2os
chr8:48450001-48460000	chr8	48450001	48460000	8q	qB1.2	1	Tenm3
chr8:53460001-53470000	chr8	53460001	53470000	8q	qB1.3	1	Gm45554
chr8:68210001-68220000	chr8	68210001	68220000	8q	qB3.3	1	Psd3
chr8:69230001-69240000	chr8	69230001	69240000	8q	qB3.3	2	Zfp930,Gm7684
chr8:75730001-75740000	chr8	75730001	75740000	8q	qC1	1	Iqcm
chr8:76000001-76010000	chr8	76000001	76010000	8q	qC1	1	Gm45740
chr8:77690001-77700000	chr8	77690001	77700000	8q	qC1	2	Ednra,4933431K23Rik
chr8:80490001-80500000	chr8	80490001	80500000	8q	qC2	1	Gypa
chr8:81360001-81370000	chr8	81360001	81370000	8q	qC2	1	Inpp4b
chr8:90910001-90920000	chr8	90910001	90920000	8q	qC4	1	Chd9
chr8:91220001-91230000	chr8	91220001	91230000	8q	qC4	2	Gm36243,Rpgrip1l
chr8:92630001-92640000	chr8	92630001	92640000	8q	qC5	1	
chr8:100580001-100590000	chr8	100580001	100590000	8q	qD1	1	
chr8:106510001-106520000	chr8	106510001	106520000	8q	qD3	1	Cdh3
chr8:108370001-108380000	chr8	108370001	108380000	8q	qD3	1	Zfhx3
chr8:108660001-108670000	chr8	108660001	108670000	8q	qD3	1	Zfhx3
chr8:109220001-109230000	chr8	109220001	109230000	8q	qD3	1	D030068K23Rik
chr8:109760001-109770000	chr8	109760001	109770000	8q	qD3	1	
chr8:111500001-111510000	chr8	111500001	111510000	8q	qE1	1	Wdr59
chr8:112910001-112920000	chr8	112910001	112920000	8q	qE1	1	Gm45904
chr8:117260001-117270000	chr8	117260001	117270000	8q	qE1	1	Cmip
chr8:119320001-119330000	chr8	119320001	119330000	8q	qE1	1	Cdh13
chr8:128190001-128200000	chr8	128190001	128200000	8q	qE2	1	
chr9:4870001-4880000	chr9	4870001	4880000	9p	qA1	1	
chr9:9960001-9970000	chr9	9960001	9970000	9p	qA1	1	Cntn5
chr9:24090001-24100000	chr9	24090001	24100000	9p	qA3	2	Gm47670,Npsr1
chr9:24530001-24540000	chr9	24530001	24540000	9p	qA4	1	
chr9:29900001-29910000	chr9	29900001	29910000	9p	qA4	1	Ntm
chr9:33360001-33370000	chr9	33360001	33370000	9p	qA4	1	
chr9:41180001-41190000	chr9	41180001	41190000	9p	qA5.1	1	Gm35657
chr9:44420001-44430000	chr9	44420001	44430000	centromere	qA5.2	1	Gm47186
chr9:49610001-49620000	chr9	49610001	49620000	9q	qA5.3	1	Ncam1
chr9:50510001-50520000	chr9	50510001	50520000	9q	qA5.3	1	
chr9:54860001-54870000	chr9	54860001	54870000	9q	qB	1	Ireb2
chr9:58840001-58850000	chr9	58840001	58850000	9q	qB	1	Hcn4
chr9:60920001-60930000	chr9	60920001	60930000	9q	qB	1	Gm47923
chr9:61630001-61640000	chr9	61630001	61640000	9q	qB	1	
chr9:63420001-63430000	chr9	63420001	63430000	9q	qC	2	Iqch,Gm16759
chr9:68430001-68440000	chr9	68430001	68440000	9q	qC	1	
chr9:72410001-72420000	chr9	72410001	72420000	9q	qD	1	
chr9:75740001-75750000	chr9	75740001	75750000	9q	qD	1	
chr9:76830001-76840000	chr9	76830001	76840000	9q	qD	1	
chr9:93820001-93830000	chr9	93820001	93830000	9q	qE3.3	1	
chr9:95920001-95930000	chr9	95920001	95930000	9q	qE3.3	1	Atr
chr9:106050001-106060000	chr9	106050001	106060000	9q	qF1	1	Col6a4
chr9:110270001-110280000	chr9	110270001	110280000	9q	qF2	1	
chr10:3990001-4000000	chr10	3990001	4000000	10p	qA1	2	Gm16074,Mthfd1l
chr10:9490001-9500000	chr10	9490001	9500000	10p	qA1	1	
chr10:14300001-14310000	chr10	14300001	14310000	10p	qA2	1	Gm40603
chr10:14370001-14380000	chr10	14370001	14380000	10p	qA2	1	
chr10:14380001-14390000	chr10	14380001	14390000	10p	qA2	1	
chr10:27520001-27530000	chr10	27520001	27530000	10p	qA4	1	Lama2
chr10:29010001-29020000	chr10	29010001	29020000	10p	qA4	1	
chr10:29290001-29300000	chr10	29290001	29300000	10p	qA4	1	Gm46218
chr10:35480001-35490000	chr10	35480001	35490000	10p	qB1	1	1700054O05Rik
chr10:51400001-51410000	chr10	51400001	51410000	10q	qB3	1	
chr10:54120001-54130000	chr10	54120001	54130000	10q	qB3	1	
chr10:56460001-56470000	chr10	56460001	56470000	10q	qB4	1	Gm36595
chr10:58450001-58460000	chr10	58450001	58460000	10q	qB4	1	Ranbp2
chr10:59640001-59650000	chr10	59640001	59650000	10q	qB4	1	
chr10:59980001-59990000	chr10	59980001	59990000	10q	qB4	1	Anapc16
chr10:61870001-61880000	chr10	61870001	61880000	10q	qB4	1	Col13a1
chr10:80210001-80220000	chr10	80210001	80220000	10q	qC1	1	
chr10:80220001-80230000	chr10	80220001	80230000	10q	qC1	1	Pwwp3a
chr10:83520001-83530000	chr10	83520001	83530000	10q	qC1	1	Aldh1l2
chr10:88580001-88590000	chr10	88580001	88590000	10q	qC1	1	Mybpc1
chr10:89770001-89780000	chr10	89770001	89780000	10q	qC2	1	Bltp3b
chr10:91960001-91970000	chr10	91960001	91970000	10q	qC2	1	
chr10:93340001-93350000	chr10	93340001	93350000	10q	qC2	1	Gm17745
chr10:94370001-94380000	chr10	94370001	94380000	10q	qC2	1	Tmcc3
chr10:94740001-94750000	chr10	94740001	94750000	10q	qC2	1	Cep83
chr10:98290001-98300000	chr10	98290001	98300000	10q	qC3	1	Gm8633
chr10:102270001-102280000	chr10	102270001	102280000	10q	qD1	2	Mgat4c,NA
chr10:102650001-102660000	chr10	102650001	102660000	10q	qD1	1	
chr10:103890001-103900000	chr10	103890001	103900000	10q	qD1	1	Gm47225
chr10:104080001-104090000	chr10	104080001	104090000	10q	qD1	1	Gm47227
chr10:108350001-108360000	chr10	108350001	108360000	10q	qD1	1	Pawr
chr10:112340001-112350000	chr10	112340001	112350000	10q	qD2	1	Kcnc2
chr10:114260001-114270000	chr10	114260001	114270000	10q	qD2	1	
chr10:115710001-115720000	chr10	115710001	115720000	10q	qD2	1	
chr10:116050001-116060000	chr10	116050001	116060000	10q	qD2	1	Ptprr
chr10:126240001-126250000	chr10	126240001	126250000	10q	qD3	1	
chr10:130100001-130110000	chr10	130100001	130110000	10q	qD3	1	
chr11:6480001-6490000	chr11	6480001	6490000	11p	qA1	1	Gm11973
chr11:18850001-18860000	chr11	18850001	18860000	11p	qA3.1	1	8430419K02Rik
chr11:29890001-29900000	chr11	29890001	29900000	11p	qA3.3	1	Eml6
chr11:30130001-30140000	chr11	30130001	30140000	11p	qA3.3	1	Sptbn1
chr11:32460001-32470000	chr11	32460001	32470000	11p	qA4	1	Ubtd2
chr11:33750001-33760000	chr11	33750001	33760000	11p	qA4	1	Kcnip1
chr11:33950001-33960000	chr11	33950001	33960000	11p	qA4	1	Kcnip1
chr11:36990001-37000000	chr11	36990001	37000000	11p	qA5	1	Tenm2
chr11:38950001-38960000	chr11	38950001	38960000	11p	qA5	1	
chr11:51000001-51010000	chr11	51000001	51010000	11p	qB1.3	1	Or1ad8
chr11:57070001-57080000	chr11	57070001	57080000	11q	qB1.3	1	Gria1
chr11:59370001-59380000	chr11	59370001	59380000	11q	qB1.3	2	Gm15755,Prss38
chr11:77250001-77260000	chr11	77250001	77260000	11q	qB5	1	Ssh2
chr11:81830001-81840000	chr11	81830001	81840000	11q	qB5	1	Asic2
chr11:83740001-83750000	chr11	83740001	83750000	11q	qC	1	Wfdc21
chr11:87870001-87880000	chr11	87870001	87880000	11q	qC	1	Epx
chr11:104510001-104520000	chr11	104510001	104520000	11q	qE1	1	Cdc27
chr11:113920001-113930000	chr11	113920001	113930000	11q	qE2	1	Sdk2
chr11:114890001-114900000	chr11	114890001	114900000	11q	qE2	1	Cd300a
chr12:10030001-10040000	chr12	10030001	10040000	12p	qA1.1	1	
chr12:13480001-13490000	chr12	13480001	13490000	12p	qA1.1	2	Nbas,Gm48311
chr12:13490001-13500000	chr12	13490001	13500000	12p	qA1.1	2	Gm24142,Nbas
chr12:17060001-17070000	chr12	17060001	17070000	12p	qA1.1	1	Gm48538
chr12:24860001-24870000	chr12	24860001	24870000	12p	qA1.3	1	Mboat2
chr12:26170001-26180000	chr12	26170001	26180000	12p	qA2	1	Gm29687
chr12:26820001-26830000	chr12	26820001	26830000	12p	qA2	1	4933409F18Rik
chr12:29340001-29350000	chr12	29340001	29350000	12p	qA2	1	
chr12:30770001-30780000	chr12	30770001	30780000	12p	qA2	1	
chr12:45020001-45030000	chr12	45020001	45030000	12q	qB3	1	Stxbp6
chr12:53050001-53060000	chr12	53050001	53060000	12q	qC1	1	Akap6
chr12:56170001-56180000	chr12	56170001	56180000	12q	qC1	1	
chr12:58640001-58650000	chr12	58640001	58650000	12q	qC1	1	
chr12:58650001-58660000	chr12	58650001	58660000	12q	qC1	1	
chr12:59970001-59980000	chr12	59970001	59980000	12q	qC1	1	Gm29809
chr12:67040001-67050000	chr12	67040001	67050000	12q	qC2	2	Mdga2,NA
chr12:67280001-67290000	chr12	67280001	67290000	12q	qC2	1	
chr12:70910001-70920000	chr12	70910001	70920000	12q	qC2	2	Gm10457,Gm46355
chr12:71100001-71110000	chr12	71100001	71110000	12q	qC2	1	
chr12:71630001-71640000	chr12	71630001	71640000	12q	qC3	1	9630002D21Rik
chr12:71670001-71680000	chr12	71670001	71680000	12q	qC3	1	9630002D21Rik
chr12:72580001-72590000	chr12	72580001	72590000	12q	qC3	2	Pcnx4,Dhrs7l
chr12:75270001-75280000	chr12	75270001	75280000	12q	qC3	1	
