region	chr	start	end	arm	cyto	CFS	ERFS	overlappedGeneNumDensity	genename	transcriptClass	geneType	largeGene
chr1:84992823-84993021	chr1	84992823	84993021	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	MCOLN2	coding,nonCoding	protein_coding	N
chr1:84298751-84298945	chr1	84298751	84298945	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	SAMD13	coding,nonCoding	protein_coding	N
chr1:84487580-84487789	chr1	84487580	84487789	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	RPF1	coding	protein_coding	N
chr1:84466329-84466562	chr1	84466329	84466562	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84076595-84076843	chr1	84076595	84076843	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB-DT	nonCoding	lncRNA	N
chr1:84749396-84749654	chr1	84749396	84749654	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84431459-84431679	chr1	84431459	84431679	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84156039-84156280	chr1	84156039	84156280	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84621560-84621765	chr1	84621560	84621765	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84836212-84836463	chr1	84836212	84836463	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LPAR3	coding	protein_coding	N
chr1:84760369-84760618	chr1	84760369	84760618	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84508395-84508687	chr1	84508395	84508687	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	SPATA1	coding,nonCoding	protein_coding	N
chr1:84486570-84486901	chr1	84486570	84486901	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	RPF1	coding	protein_coding	N
chr1:84079815-84080114	chr1	84079815	84080114	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84171503-84171873	chr1	84171503	84171873	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84575579-84575972	chr1	84575579	84575972	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84504588-84504963	chr1	84504588	84504963	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GNG5	coding	protein_coding	N
chr1:84296105-84296458	chr1	84296105	84296458	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84139345-84139804	chr1	84139345	84139804	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84498170-84498554	chr1	84498170	84498554	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		2	GNG5,RPF1	coding	protein_coding	N
chr1:84497485-84497968	chr1	84497485	84497968	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	RPF1	coding	protein_coding	N
chr1:84080226-84080771	chr1	84080226	84080771	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84299874-84300347	chr1	84299874	84300347	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	SAMD13	coding,nonCoding	protein_coding	N
chr1:84722510-84723030	chr1	84722510	84723030	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84937547-84938079	chr1	84937547	84938079	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	MCOLN2	coding,nonCoding	protein_coding	N
chr1:84137723-84138313	chr1	84137723	84138313	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84151230-84151840	chr1	84151230	84151840	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84051431-84052044	chr1	84051431	84052044	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84619384-84619999	chr1	84619384	84619999	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84483634-84484387	chr1	84483634	84484387	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	RPF1	coding	protein_coding	N
chr1:84622002-84622703	chr1	84622002	84622703	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84971934-84972763	chr1	84971934	84972763	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	MCOLN2	coding,nonCoding	protein_coding	N
chr1:84213739-84214521	chr1	84213739	84214521	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84243363-84244208	chr1	84243363	84244208	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84996966-84997807	chr1	84996966	84997807	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	MCOLN2	coding,nonCoding	protein_coding	N
chr1:84940355-84941384	chr1	84940355	84941384	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	MCOLN2	coding,nonCoding	protein_coding	N
chr1:84945652-84946688	chr1	84945652	84946688	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	MCOLN2	coding,nonCoding	protein_coding	N
chr1:84687534-84688519	chr1	84687534	84688519	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	SSX2IP	coding,nonCoding	protein_coding	N
chr1:84437647-84438674	chr1	84437647	84438674	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84572477-84573718	chr1	84572477	84573718	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	CTBS	coding	protein_coding	N
chr1:84301155-84302561	chr1	84301155	84302561	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	SAMD13	coding,nonCoding	protein_coding	N
chr1:84696682-84698269	chr1	84696682	84698269	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84699157-84700979	chr1	84699157	84700979	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84994027-84995852	chr1	84994027	84995852	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	MCOLN2	coding,nonCoding	protein_coding	N
chr1:84667713-84669479	chr1	84667713	84669479	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	SSX2IP	coding,nonCoding	protein_coding	N
chr1:84569805-84571505	chr1	84569805	84571505	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	CTBS	coding	protein_coding	N
chr1:84122269-84124869	chr1	84122269	84124869	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:89633760-89641338	chr1	89633760	89641338	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89060797-89069873	chr1	89060797	89069873	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	GBP1	1	GBP1	nonCoding,coding	protein_coding	N
chr1:89602585-89612821	chr1	89602585	89612821	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C-DT	nonCoding	lncRNA	N
chr1:89694516-89699292	chr1	89694516	89699292	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89195337-89201102	chr1	89195337	89201102	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GBP4	coding	protein_coding	N
chr1:89628295-89632521	chr1	89628295	89632521	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C-DT	nonCoding	lncRNA	N
chr1:89985944-89989741	chr1	89985944	89989741	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	RN7SKP272	nonCoding	misc_RNA	N
chr1:89273276-89278811	chr1	89273276	89278811	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89256115-89261510	chr1	89256115	89261510	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GBP5	coding,nonCoding	protein_coding	N
chr1:88998174-89001516	chr1	88998174	89001516	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89123372-89127271	chr1	89123372	89127271	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	GBP2	1	GBP2	coding,nonCoding	protein_coding	N
chr1:89654226-89660140	chr1	89654226	89660140	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89841930-89848792	chr1	89841930	89848792	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8D	1	LRRC8D	coding	protein_coding	N
chr1:89670654-89671858	chr1	89670654	89671858	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89354780-89358013	chr1	89354780	89358013	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89193598-89194527	chr1	89193598	89194527	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GBP4	coding	protein_coding	N
chr1:89127765-89128868	chr1	89127765	89128868	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GBP2	coding,nonCoding	protein_coding	N
chr1:89665936-89667655	chr1	89665936	89667655	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89359002-89361103	chr1	89359002	89361103	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89995903-89997987	chr1	89995903	89997987	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	ZNF326	coding	protein_coding	N
chr1:89651730-89653936	chr1	89651730	89653936	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89596734-89599141	chr1	89596734	89599141	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8B	2	LRRC8C-DT,LRRC8B	nonCoding,coding	lncRNA,protein_coding	N
chr1:89754692-89757135	chr1	89754692	89757135	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C	coding	protein_coding	N
chr1:89270158-89272664	chr1	89270158	89272664	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GBP5	coding,nonCoding	protein_coding	N
chr1:89024760-89028208	chr1	89024760	89028208	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89622175-89622553	chr1	89622175	89622553	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C-DT	nonCoding	lncRNA	N
chr1:89675868-89676298	chr1	89675868	89676298	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89871521-89872199	chr1	89871521	89872199	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8D	1	LRRC8D	coding	protein_coding	N
chr1:89599984-89600646	chr1	89599984	89600646	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C-DT	nonCoding	lncRNA	N
chr1:89552884-89553859	chr1	89552884	89553859	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8B	1	LRRC8B	coding	protein_coding	N
chr1:89700145-89701216	chr1	89700145	89701216	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89021449-89022640	chr1	89021449	89022640	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	GBP3	1	GBP3	nonCoding,coding	protein_coding	N
chr1:89649185-89650472	chr1	89649185	89650472	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89757976-89759326	chr1	89757976	89759326	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C	coding	protein_coding	N
chr1:89623594-89625090	chr1	89623594	89625090	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C-DT	nonCoding	lncRNA	N
chr1:89802988-89804504	chr1	89802988	89804504	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89483671-89485223	chr1	89483671	89485223	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89716481-89718222	chr1	89716481	89718222	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89851635-89853650	chr1	89851635	89853650	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8D	1	LRRC8D	coding	protein_coding	N
chr1:89520823-89523070	chr1	89520823	89523070	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89454513-89456639	chr1	89454513	89456639	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89760353-89764041	chr1	89760353	89764041	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C	coding	protein_coding	N
chr1:89719068-89723578	chr1	89719068	89723578	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89202925-89203127	chr1	89202925	89203127	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89129642-89129847	chr1	89129642	89129847	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GBP2	coding,nonCoding	protein_coding	N
chr1:89339122-89339323	chr1	89339122	89339323	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89616427-89616628	chr1	89616427	89616628	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C-DT	nonCoding	lncRNA	N
chr1:89766894-89767103	chr1	89766894	89767103	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C	coding	protein_coding	N
chr1:89577999-89578241	chr1	89577999	89578241	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8B	1	LRRC8B	coding	protein_coding	N
chr1:89545552-89545753	chr1	89545552	89545753	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8B	1	LRRC8B	coding	protein_coding	N
chr1:89361368-89361578	chr1	89361368	89361578	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89778894-89779164	chr1	89778894	89779164	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89943097-89943350	chr1	89943097	89943350	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89702154-89702371	chr1	89702154	89702371	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89917118-89917354	chr1	89917118	89917354	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8D	1	LRRC8D	coding	protein_coding	N
chr1:89544211-89544476	chr1	89544211	89544476	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8B	1	LRRC8B	coding	protein_coding	N
chr1:89411076-89411309	chr1	89411076	89411309	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GBP1P1	nonCoding	lncRNA	N
chr1:89822991-89823227	chr1	89822991	89823227	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8D	1	LRRC8D	coding	protein_coding	N
chr1:89974086-89974358	chr1	89974086	89974358	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89262604-89262889	chr1	89262604	89262889	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GBP5	coding,nonCoding	protein_coding	N
chr1:89362304-89362602	chr1	89362304	89362602	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89713457-89713774	chr1	89713457	89713774	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89024146-89024450	chr1	89024146	89024450	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89460263-89460561	chr1	89460263	89460561	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89945198-89945514	chr1	89945198	89945514	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89864784-89865111	chr1	89864784	89865111	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8D	1	LRRC8D	coding	protein_coding	N
chr1:89457800-89458130	chr1	89457800	89458130	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89459845-89460195	chr1	89459845	89460195	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89820942-89821281	chr1	89820942	89821281	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8D	1	LRRC8D	coding	protein_coding	N
chr1:89082362-89082703	chr1	89082362	89082703	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89782332-89782665	chr1	89782332	89782665	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89118900-89119266	chr1	89118900	89119266	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	GBP2	1	GBP2	coding,nonCoding	protein_coding	N
chr1:89408888-89409332	chr1	89408888	89409332	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GBP1P1	nonCoding	lncRNA	N
chr1:89677337-89677832	chr1	89677337	89677832	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	1	LRRC8C	coding	protein_coding	N
chr1:89023116-89023589	chr1	89023116	89023589	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89122040-89122494	chr1	89122040	89122494	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	GBP2	1	GBP2	coding,nonCoding	protein_coding	N
chr1:89870215-89870704	chr1	89870215	89870704	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8D	1	LRRC8D	coding	protein_coding	N
chr1:89850187-89850653	chr1	89850187	89850653	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8D	1	LRRC8D	coding	protein_coding	N
chr1:89120187-89120697	chr1	89120187	89120697	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	GBP2	1	GBP2	coding,nonCoding	protein_coding	N
chr1:89594584-89595090	chr1	89594584	89595090	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8B	2	LRRC8C-DT,LRRC8B	nonCoding,coding	lncRNA,protein_coding	N
chr1:89601617-89602159	chr1	89601617	89602159	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C-DT	nonCoding	lncRNA	N
chr1:89453307-89454002	chr1	89453307	89454002	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89740731-89741291	chr1	89740731	89741291	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C	coding	protein_coding	N
chr1:89547224-89547874	chr1	89547224	89547874	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8B	1	LRRC8B	coding	protein_coding	N
chr1:89551291-89552040	chr1	89551291	89552040	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8B	1	LRRC8B	coding	protein_coding	N
chr1:89626198-89626844	chr1	89626198	89626844	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	LRRC8C-DT	nonCoding	lncRNA	N
chr1:89145526-89146195	chr1	89145526	89146195	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		2	GBP2,GBP7	coding,nonCoding	protein_coding	N
chr1:89990780-89991479	chr1	89990780	89991479	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89086533-89087306	chr1	89086533	89087306	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89979707-89980420	chr1	89979707	89980420	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89859578-89860446	chr1	89859578	89860446	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8D	1	LRRC8D	coding	protein_coding	N
chr1:89564470-89565342	chr1	89564470	89565342	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8B	1	LRRC8B	coding	protein_coding	N
chr1:89805868-89806655	chr1	89805868	89806655	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:89855716-89856627	chr1	89855716	89856627	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8D	1	LRRC8D	coding	protein_coding	N
chr1:89191548-89192448	chr1	89191548	89192448	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GBP4	coding	protein_coding	N
chr1:89592907-89593766	chr1	89592907	89593766	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8B	2	LRRC8B,LRRC8C-DT	coding,nonCoding	protein_coding,lncRNA	N
