region	chr	start	end	arm	cyto	CFS	ERFS	overlappedGeneNumDensity	genename	transcriptClass	geneType	largeGene
chr1:224250001-224820000	chr1	224250001	224820000	1q	q42.11	FRA1H	NVL	10	CNIH4,NVL,MIR320B2,RNU6-1008P,MIR4742,CNIH3,CNIH3-AS2,CNIH3-AS1,LINC02813,WDR26	coding,nonCoding	protein_coding,miRNA,snRNA,lncRNA	N
chr1:231400001-231480000	chr1	231400001	231480000	1q	q42.2	FRA1H		1	EGLN1	coding,nonCoding	protein_coding	N
chr1:240140001-240400000	chr1	240140001	240400000	1q	q43			1	FMN2	coding,nonCoding	protein_coding	N
chr1:244060001-245000000	chr1	244060001	245000000	1q	q44	FRA1I	HNRNPU	10	RN7SL148P,ADSS2,CATSPERE,DESI2,C1orf100,RN7SKP55,RNU6-947P,EFCAB2,COX20,HNRNPU	nonCoding,coding	misc_RNA,protein_coding,snRNA	N
chr1:51770001-51930000	chr1	51770001	51930000	1p	p32.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	OSBPL9	4	OSBPL9,RAB3B,NRDC,MIR761	coding,nonCoding	protein_coding,miRNA	N
chr1:7990001-8360000	chr1	7990001	8360000	1p	p36.23	FRA1A	SLC45A1	7	RNU1-7P,RERE,ERRFI1-DT,RNU6-991P,SLC45A1,ERRFI1,LINC01714	nonCoding,coding	snRNA,protein_coding,lncRNA	N
chr1:81500001-81760000	chr1	81500001	81760000	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	ADGRL2	coding,nonCoding	protein_coding	Y
chr1:84740001-85390000	chr1	84740001	85390000	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		10	SYDE2,C1orf52,BCL10,BCL10-AS1,DDAH1,MCOLN2,DNAI3,MCOLN3,LPAR3,MIR4423	coding,nonCoding	protein_coding,lncRNA,miRNA	N
chr1:91400001-91660000	chr1	91400001	91660000	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		2	HFM1,CDC7	coding,nonCoding	protein_coding	N
chr1:96710001-96770000	chr1	96710001	96770000	1p	p21.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PTBP2	coding,nonCoding	protein_coding	N
chr10:100170001-100340000	chr10	100170001	100340000	10q	q24.31			8	CWF19L1,ERLIN1,CHUK,CHUK-DT,PKD2L1,SNORA12,RNU6-422P,BLOC1S2	coding,nonCoding	protein_coding,lncRNA,snoRNA,snRNA	N
chr10:104100001-104250000	chr10	104100001	104250000	10q	q25.1			4	CFAP43,MIR609,GSTO1,SFR1	coding,nonCoding	protein_coding,miRNA	N
chr10:110150001-110210000	chr10	110150001	110210000	10q	q25.2	FRA10B, FRA10E	MXI1	1	MXI1	coding	protein_coding	N
chr10:110290001-110490000	chr10	110290001	110490000	10q	q25.2	FRA10B, FRA10E	SMNDC1	2	SMNDC1,DUSP5-DT	coding,nonCoding	protein_coding,lncRNA	N
chr10:114730001-114930000	chr10	114730001	114930000	10q	q25.3			2	ABLIM1,FHIP2A	coding,nonCoding	protein_coding	N
chr10:3380001-3860000	chr10	3380001	3860000	10p	p15.2		KLF6	3	LINC02669,KLF6,LINC02639	nonCoding,coding	lncRNA,protein_coding	N
chr10:56810001-57410000	chr10	56810001	57410000	10q	q21.1	FRA10C, FRA10D, FRA10G		1	MIR3924	nonCoding	miRNA	N
chr10:60730001-60820000	chr10	60730001	60820000	10q	q21.2	FRA10C, FRA10D, FRA10G		3	CDK1,ANK3-DT,ANK3	coding,nonCoding	protein_coding,lncRNA	N,Y
chr10:61650001-61960000	chr10	61650001	61960000	10q	q21.2	FRA10C, FRA10D, FRA10G	ARID5B	3	LINC02625,CABCOCO1,ARID5B	nonCoding,coding	lncRNA,protein_coding	N
chr10:64630001-64910000	chr10	64630001	64910000	10q	q21.3	FRA10C, FRA10D, FRA10G		1	LINC02671	nonCoding	lncRNA	N
chr10:81870001-82120000	chr10	81870001	82120000	10q	q23.1			1	NRG3	coding	protein_coding	Y
chr10:8220001-8540000	chr10	8220001	8540000	10p	p14			1	LINC00708	nonCoding	lncRNA	N
chr10:88560001-88920000	chr10	88560001	88920000	10q	q23.31	FRA10A	RNLS	8	RNLS,LIPJ,LIPF,LIPK,LIPN,LIPM,ANKRD22,STAMBPL1	coding,nonCoding	protein_coding	N
chr10:89270001-89370000	chr10	89270001	89370000	10q	q23.31	FRA10A		3	IFIT2,LIPA,IFIT3	coding	protein_coding	N
chr10:89600001-89720000	chr10	89600001	89720000	10q	q23.31	FRA10A		3	PANK1,PANK1-AS1,KIF20B	coding,nonCoding	protein_coding,lncRNA	N
chr10:92570001-92690000	chr10	92570001	92690000	10q	q23.33	FRA10A	HHEX	4	IDE,KIF11,RN7SL644P,HHEX	coding,nonCoding	protein_coding,misc_RNA	N
chr11:104820001-105000000	chr11	104820001	105000000	11q	q22.3			4	CASP5,CASP12,CASP4LP,CASP4	coding,nonCoding	protein_coding,lncRNA	N
chr11:114180001-114380000	chr11	114180001	114380000	11q	q23.2			2	ZBTB16,NNMT	coding,nonCoding	protein_coding	N
chr11:11810001-12170000	chr11	11810001	12170000	11p	p15.3			6	USP47,LINC02989,MICAL2,DKK3,LINC02547,MIR6124	coding,nonCoding	protein_coding,lncRNA,miRNA	N
chr11:22950001-23300000	chr11	22950001	23300000	11p	p14.3			1	LINC02718	nonCoding	lncRNA	N
chr11:23650001-24090000	chr11	23650001	24090000	11p	p14.3			2	LINC02726,RNU6-783P	nonCoding	lncRNA,snRNA	N
chr11:27620001-27790000	chr11	27620001	27790000	11p	p14.1			3	BDNF,BDNF-AS,LINC00678	coding,nonCoding	protein_coding,lncRNA	N
chr11:34010001-34670000	chr11	34010001	34670000	11p	p13	FRA11E	CAPRIN1	7	CAPRIN1,NAT10,ELF5,LINC02707,ABTB2,CAT,EHF	coding,nonCoding	protein_coding,lncRNA	N
chr11:38750001-39390000	chr11	38750001	39390000	11p	p12			1	RNU6-99P	nonCoding	snRNA	N
chr11:85760001-86010000	chr11	85760001	86010000	11q	q14.1	FRA11F	PICALM	3	SYTL2,CCDC83,PICALM	coding,nonCoding	protein_coding	N
chr11:86070001-86350000	chr11	86070001	86350000	11q	q14.2	FRA11F		6	LINC02695,EED,MIR6755,RN7SL225P,HIKESHI,RNU6-560P	nonCoding,coding	lncRNA,protein_coding,miRNA,misc_RNA,snRNA	N
chr11:90680001-90870000	chr11	90680001	90870000	11q	q14.3			2	DISC1FP1,MIR1261	nonCoding	lncRNA,miRNA	Y,N
chr12:22150001-22360000	chr12	22150001	22360000	12p	p12.1			2	ST8SIA1,RNU1-149P	coding,nonCoding	protein_coding,snRNA	N
chr12:45910001-46170000	chr12	45910001	46170000	12q	q12	FRA12A		1	SCAF11	coding,nonCoding	protein_coding	N
chr12:68200001-68310000	chr12	68200001	68310000	12q	q15			4	IL26,IFNG-AS1,IL22,MDM1	coding,nonCoding	protein_coding,lncRNA	N
chr12:75310001-75860000	chr12	75310001	75860000	12q	q21.2			6	GLIPR1L1,CAPS2,KRR1,GLIPR1L2,GLIPR1,GLIPR1-AS1	coding,nonCoding	protein_coding,lncRNA	N
chr12:78770001-78880000	chr12	78770001	78880000	12q	q21.2			1	SYT1	coding	protein_coding	Y
chr12:89190001-89420000	chr12	89190001	89420000	12q	q21.33	FRA12B	DUSP6	4	DUSP6,POC1B,LINC02458,RNU7-120P	coding,nonCoding	protein_coding,lncRNA,snRNA	N
chr12:9780001-10060000	chr12	9780001	10060000	12p	p13.31		CLEC12A	10	CLEC12A-AS1,KLRF2,CLEC2A,LINC02470,CLEC9A,CLEC12A,CLEC1B,CLEC12B,KLRF1,CLEC2B	nonCoding,coding	lncRNA,protein_coding	N
chr13:102670001-102990000	chr13	102670001	102990000	13q	q33.1			9	TEX30,POGLUT2,BIVM-ERCC5,BIVM,ERCC5,METTL21EP,TPP2,METTL21C,CCDC168	coding,nonCoding	protein_coding	N
chr13:27030001-27700000	chr13	27030001	27700000	13q	q12.13			17	RNU6-70P,SNORD102,SNORA27,RASL11A,USP12,USP12-AS1,USP12-DT,LINC02340,LINC00412,RPL21,LINC01079,RNY1P1,GTF3A,MTIF3,RNU6-63P,LNX2,POLR1D	nonCoding,coding	snRNA,snoRNA,protein_coding,lncRNA,misc_RNA	N
chr13:29850001-30210000	chr13	29850001	30210000	13q	q12.3		KATNAL1	8	LINC00384,LINC00572,LINC00544,LINC00365,UBL3,LINC00297,LINC00385,KATNAL1	nonCoding,coding	lncRNA,protein_coding	N
chr13:30560001-31290000	chr13	30560001	31290000	13q	q12.3		HMGB1	11	TEX26,B3GLCT,USPL1,LINC01066,HSPH1,HMGB1,TEX26-AS1,ALOX5AP,LINC00398,LINC00545,MEDAG	coding,nonCoding	protein_coding,lncRNA	N
chr13:37360001-37510000	chr13	37360001	37510000	13q	q13.3			1	LINC01048	nonCoding	lncRNA	N
chr13:39890001-40320000	chr13	39890001	40320000	13q	q14.11			3	LINC00598,LINC00332,RNY3P9	nonCoding	lncRNA,misc_RNA	N
chr13:48550001-49000000	chr13	48550001	49000000	13q	q14.2		CYSLTR2	6	RB1,LINC01077,LINC00462,CYSLTR2,FNDC3A,RNU6-60P	coding,nonCoding	protein_coding,lncRNA,snRNA	N
chr13:50870001-50940000	chr13	50870001	50940000	13q	q14.3			3	RNASEH2B-AS1,RNASEH2B,DLEU1	nonCoding,coding	lncRNA,protein_coding	N,Y
chr13:58740001-59480000	chr13	58740001	59480000	13q	q21.1	FRA13B, FRA13C		1				
chr13:60130001-60200000	chr13	60130001	60200000	13q	q21.2	FRA13B, FRA13C		3	DIAPH3,DIAPH3-AS2,RNY4P28	coding,nonCoding	protein_coding,lncRNA,misc_RNA	N
chr13:64790001-65130000	chr13	64790001	65130000	13q	q21.31	FRA13B, FRA13C		1				
chr13:67000001-67500000	chr13	67000001	67500000	13q	q21.32	FRA13B, FRA13C		3	PCDH9,PCDH9-AS4,LINC00364	coding,nonCoding	protein_coding,lncRNA	Y,N
chr13:68170001-69050000	chr13	68170001	69050000	13q	q21.33	FRA13B, FRA13C		3	RN7SL761P,LINC00550,LINC02342	nonCoding	misc_RNA,lncRNA	N
chr13:70000001-70600000	chr13	70000001	70600000	13q	q21.33	FRA13B, FRA13C		3	ATXN8OS,RNU6-54P,KLHL1	nonCoding,coding	lncRNA,snRNA,protein_coding	N
chr13:71000001-71240000	chr13	71000001	71240000	13q	q21.33	FRA13B, FRA13C		1	LINC00348	nonCoding	lncRNA	N
chr13:90210001-90390000	chr13	90210001	90390000	13q	q31.3			1	MIR622	nonCoding	miRNA	N
chr14:29420001-29520000	chr14	29420001	29520000	14q	q12			1	RNU11-5P	nonCoding	snRNA	N
chr14:30520001-30620000	chr14	30520001	30620000	14q	q12			2	G2E3-AS1,G2E3	nonCoding,coding	lncRNA,protein_coding	N
chr14:40150001-40440000	chr14	40150001	40440000	14q	q21.1			1				
chr14:40740001-41000000	chr14	40740001	41000000	14q	q21.1			1	LINC02315	nonCoding	lncRNA	N
chr14:41380001-41530000	chr14	41380001	41530000	14q	q21.1			1				
chr14:41760001-41990000	chr14	41760001	41990000	14q	q21.1			1	LRFN5	coding	protein_coding	N
chr14:43570001-43800000	chr14	43570001	43800000	14q	q21.2			1				
chr14:44940001-45220000	chr14	44940001	45220000	14q	q21.2			9	KLHL28,TOGARAM1,PRPF39-DT,PRPF39,SNORD58,SNORD127,FKBP3,FANCM,MIS18BP1	coding,nonCoding	protein_coding,lncRNA,snoRNA	N
chr14:54910001-55250000	chr14	54910001	55250000	14q	q22.2			5	WDHD1,SOCS4,MAPK1IP1L,LGALS3,DLGAP5	coding,nonCoding	protein_coding	N
chr14:60120001-60240000	chr14	60120001	60240000	14q	q23.1	FRA14B, FRA14C		2	PCNX4,DHRS7	coding,nonCoding	protein_coding	N
chr14:61150001-61330000	chr14	61150001	61330000	14q	q23.1	FRA14B, FRA14C		3	PRKCH,TMEM30B,PRKCH-AS1	coding,nonCoding	protein_coding,lncRNA	N
chr14:64560001-64710000	chr14	64560001	64710000	14q	q23.3	FRA14B, FRA14C		2	PPP1R36,PLEKHG3	coding,nonCoding	protein_coding	N
chr14:80770001-81040000	chr14	80770001	81040000	14q	q31.1			2	CEP128,TSHR	coding,nonCoding	protein_coding	N
chr15:25490001-25810000	chr15	25490001	25810000	15q	q11.2			2	LINC02250,ATP10A	nonCoding,coding	lncRNA,protein_coding	N
chr15:26060001-26770000	chr15	26060001	26770000	15q	q12			3	LINC00929,LINC02248,GABRB3	nonCoding,coding	lncRNA,protein_coding	N
chr15:39580001-40120000	chr15	39580001	40120000	15q	q14		BMF	11	THBS1,THBS1-IT1,THBS1-AS1,FSIP1,GPR176,GPR176-DT,EIF2AK4,SRP14,SRP14-DT,BMF,BMF-AS1	coding,nonCoding	protein_coding,lncRNA	N
chr15:45330001-45730000	chr15	45330001	45730000	15q	q21.1			10	RNU6-953P,GATM,SPATA5L1,C15orf48,MIR147B,SLC30A4-AS1,SLC30A4,SNORA41B,BLOC1S6,SQOR	nonCoding,coding	snRNA,protein_coding,miRNA,lncRNA,snoRNA	N
chr15:45790001-46040000	chr15	45790001	46040000	15q	q21.1			1				
chr15:48700001-49070000	chr15	48700001	49070000	15q	q21.1		SECISBP2L	5	CEP152,SHC4,EID1,SECISBP2L,RN7SL577P	coding,nonCoding	protein_coding,misc_RNA	N
chr15:49940001-50940000	chr15	49940001	50940000	15q	q21.2			15	ATP8B4,SLC27A2,HDC,RN7SL494P,GABPB1,RNU6-94P,GABPB1-IT1,GABPB1-AS1,MIR4712,USP8,USP50,TRPM7,RN7SL354P,SPPL2A,AP4E1	coding,nonCoding	protein_coding,misc_RNA,snRNA,lncRNA,miRNA	N
chr15:55230001-55270000	chr15	55230001	55270000	15q	q21.3			1	RAB27A	coding,nonCoding	protein_coding	N
chr15:64000001-64150000	chr15	64000001	64150000	15q	q22.31	FRA15A	DAPK2	3	DAPK2,CIAO2A,SNX1	coding,nonCoding	protein_coding	N
chr15:69630001-69850000	chr15	69630001	69850000	15q	q23			1	DRAIC	nonCoding	lncRNA	N
chr15:95100001-95660000	chr15	95100001	95660000	15q	q26.2			2	LETR1,LINC00924	nonCoding	lncRNA	N
chr15:95920001-96320000	chr15	95920001	96320000	15q	q26.2			2	NR2F2-AS1,LINC02157	nonCoding	lncRNA	N
chr15:98280001-98630000	chr15	98280001	98630000	15q	q26.3		FAM169B	1	LINC02351	nonCoding	lncRNA	N
chr16:56160001-56280000	chr16	56160001	56280000	16q	q13			4	GNAO1-AS1,MIR3935,GNAO1-DT,GNAO1	nonCoding,coding	lncRNA,miRNA,protein_coding	N
chr16:59940001-60070000	chr16	59940001	60070000	16q	q21			1	LINC02141	nonCoding	lncRNA	N
chr16:6870001-7000000	chr16	6870001	7000000	16p	p13.3			2	RBFOX1,RNU6-457P	coding,nonCoding	protein_coding,snRNA	Y,N
chr16:79220001-79420000	chr16	79220001	79420000	16q	q23.2	FRA16D		1				
chr17:12580001-13030000	chr17	12580001	13030000	17p	p12	FRA17A		7	MYOCD-AS1,ARHGAP44-AS1,LINC00670,MYOCD,ELAC2,ARHGAP44,MIR1269B	nonCoding,coding	lncRNA,protein_coding,miRNA	N
chr17:37550001-37830000	chr17	37550001	37830000	17q	q12		DDX52	5	MIR378J,DDX52,SYNRG,HNF1B,YWHAEP7	nonCoding,coding	miRNA,protein_coding,lncRNA	N
chr17:40580001-41080000	chr17	40580001	41080000	17q	q21.2			25	SMARCE1,KRT222,KRT20,KRT23,KRT39,KRT40,KRTAP3-3,KRT24,KRT25,KRT26,KRT27,KRT28,KRT10,KRT10-AS1,KRT12,KRTAP2-3,KRTAP2-4,KRTAP3-1,KRTAP1-5,KRTAP1-4,KRTAP3-2,KRTAP1-1,KRTAP2-1,KRTAP2-2,KRTAP1-3	coding,nonCoding	protein_coding,lncRNA	N
chr17:47130001-47330000	chr17	47130001	47330000	17q	q21.32			6	CDC27,MYL4,ITGB3,EFCAB13,RNU7-186P,EFCAB13-DT	coding,nonCoding	protein_coding,snRNA,lncRNA	N
chr17:61210001-62030000	chr17	61210001	62030000	17q	q23.2			10	BRIP1,NACA2,BCAS3,INTS2,MED13,RN7SL800P,TBX4,TBX2-AS1,TBX2,LINC02875	coding,nonCoding	protein_coding,misc_RNA,lncRNA	N,Y
chr17:70820001-70930000	chr17	70820001	70930000	17q	q24.3			1				
chr17:7970001-8880000	chr17	7970001	8880000	17p	p13.1		GUCY2D	32	HES7,LINC00324,CTC1,PFAS,SLC25A35,RANGRF,PER1,MIR6883,VAMP2,TMEM107,SNORD118,MIR4521,BORCS6,AURKB,CCDC42,SPDYE4,MFSD6L,PIK3R6,PIK3R5,ARHGEF15,ODF4,KRBA2,RPL26,RNF222,NDEL1,MYH10,RNU7-43P,GUCY2D,ALOX15B,ALOX12B,MIR4314,ALOXE3	coding,nonCoding	protein_coding,lncRNA,miRNA,snoRNA,snRNA	N
chr18:23340001-23920000	chr18	23340001	23920000	18q	q11.2			6	ANKRD29,LAMA3,RIOK3,RMC1,NPC1,TMEM241	coding,nonCoding	protein_coding	N
chr18:26010001-26200000	chr18	26010001	26200000	18q	q11.2			2	SS18,PSMA8	coding,nonCoding	protein_coding	N
chr18:3290001-3870000	chr18	3290001	3870000	18p	p11.31		TGIF1	7	RN7SL39P,DLGAP1-AS1,DLGAP1-AS2,GAPLINC,DLGAP1,LINC01895,TGIF1	nonCoding,coding	misc_RNA,lncRNA,protein_coding	N,Y
chr18:67660001-68170000	chr18	67660001	68170000	18q	q22.1			2	DSEL-AS1,LINC01903	nonCoding	lncRNA	N
chr18:7050001-7330000	chr18	7050001	7330000	18p	p11.31			2	LAMA1,LRRC30	coding,nonCoding	protein_coding	N
chr18:71590001-72480000	chr18	71590001	72480000	18q	q22.3			1	LINC01899	nonCoding	lncRNA	N
chr18:74070001-74800000	chr18	74070001	74800000	18q	q22.3			11	FBXO15,TIMM21,RN7SL551P,CYB5A,C18orf63,LINC01922,DIPK1C,CNDP2,CNDP1,ZNF407-AS1,ZNF407	coding,nonCoding	protein_coding,misc_RNA,lncRNA	N
chr19:23440001-23570000	chr19	23440001	23570000	19p	p12			1	ZNF675	coding,nonCoding	protein_coding	N
chr2:105550001-105760000	chr2	105550001	105760000	2q	q12.2			2	LINC02946,NCK2	nonCoding,coding	lncRNA,protein_coding	N
chr2:117950001-118100000	chr2	117950001	118100000	2q	q14.1			3	RN7SL111P,CCDC93,INSIG2	nonCoding,coding	misc_RNA,protein_coding	N
chr2:136210001-136490000	chr2	136210001	136490000	2q	q22.1			1	RN7SKP141	nonCoding	misc_RNA	N
chr2:139790001-140010000	chr2	139790001	140010000	2q	q22.1			1	RN7SL283P	nonCoding	misc_RNA	N
chr2:144180001-144250000	chr2	144180001	144250000	2q	q22.3	FRA2K		1	GTDC1	coding,nonCoding	protein_coding	N
chr2:149560001-149630000	chr2	149560001	149630000	2q	q23.2			3	MMADHC,MMADHC-DT,RNU6-601P	coding,nonCoding	protein_coding,lncRNA,snRNA	N
chr2:162110001-162360000	chr2	162110001	162360000	2q	q24.2		GCG	4	FAP,GCG,IFIH1,GCA	coding,nonCoding	protein_coding	N
chr2:168870001-168900000	chr2	168870001	168900000	2q	q24.3	FRA2G, FRA2H		1	SPC25	coding	protein_coding	N
chr2:173750001-174250000	chr2	173750001	174250000	2q	q31.1	FRA2G, FRA2H	OLA1	4	SP3,LINC01960,OLA1,RN7SL65P	coding,nonCoding	protein_coding,lncRNA,misc_RNA	N
chr2:174620001-175460000	chr2	174620001	175460000	2q	q31.1	FRA2G, FRA2H	WIPF1	8	MIR933,WIPF1,CHRNA1,CHN1,RNU6-763P,RNU6-1290P,ATF2,ATP5MC3	nonCoding,coding	miRNA,protein_coding,snRNA	N
chr2:176890001-177600000	chr2	176890001	177600000	2q	q31.1	FRA2G, FRA2H		8	RNU6-187P,HNRNPA3,MIR4444-1,NFE2L2,MIR3128,MIR6512,AGPS,TTC30B	nonCoding,coding	snRNA,protein_coding,miRNA	N
chr2:184160001-184580000	chr2	184160001	184580000	2q	q32.1	FRA2G, FRA2H		1	MIR548AE1	nonCoding	miRNA	N
chr2:19840001-20070000	chr2	19840001	20070000	2p	p24.1			8	MATN3,LAPTM4A,LAPTM4A-DT,TTC32-DT,WDR35,LINC00954,TTC32,WDR35-DT	coding,nonCoding	protein_coding,lncRNA	N
chr2:200280001-200580000	chr2	200280001	200580000	2q	q33.1	FRA2I		4	KCTD18,SGO2,SPATS2L,RNY4P34	coding,nonCoding	protein_coding,misc_RNA	N
chr2:202860001-203090000	chr2	202860001	203090000	2q	q33.2	FRA2I		4	NBEAL1,ICA1L,WDR12,CARF	coding,nonCoding	protein_coding	N
chr2:204000001-204230000	chr2	204000001	204230000	2q	q33.2	FRA2I		1				
chr2:213100001-213250000	chr2	213100001	213250000	2q	q34			2	IKZF2,LINC01953	coding,nonCoding	protein_coding,lncRNA	N
chr2:230930001-231180000	chr2	230930001	231180000	2q	q37.1		SPATA3	7	HTR2B,RNU1-93P,GPR55,SPATA3-AS1,SPATA3,C2orf72,PSMD1	coding,nonCoding	protein_coding,snRNA,lncRNA	N
chr2:233830001-234090000	chr2	233830001	234090000	2q	q37.1			4	SPP2,MROH2A,HJURP,TRPM8	coding,nonCoding	protein_coding	N
chr2:27660001-27930000	chr2	27660001	27930000	2p	p23.3			6	LINC01460,MRPL33,SUPT7L,SLC4A1AP,BABAM2,RBKS	nonCoding,coding	lncRNA,protein_coding	N
chr2:28210001-29080000	chr2	28210001	29080000	2p	p23.2			14	SPDYA,PCARE,PPP1CB,FOSL2-AS1,FOSL2,PLB1,PPP1CB-DT,SNORD92,SNORD53,TRMT61B,WDR43,TOGARAM2,BABAM2,SNORD53B	coding,nonCoding	protein_coding,lncRNA,snoRNA	N
chr2:37430001-37640000	chr2	37430001	37640000	2p	p22.2			3	RNU6-1116P,LINC03063,CDC42EP3-AS1	nonCoding	snRNA,lncRNA	N
chr2:4140001-4270000	chr2	4140001	4270000	2p	p25.3			1				
chr2:46180001-46450000	chr2	46180001	46450000	2p	p21		PRKCE	5	LINC02583,RN7SL817P,EPAS1,LINC01820,PRKCE	nonCoding,coding	lncRNA,misc_RNA,protein_coding	N,Y
chr2:4770001-4860000	chr2	4770001	4860000	2p	p25.2			1				
chr2:60820001-61020000	chr2	60820001	61020000	2p	p16.1		REL	6	RNU4-51P,RN7SL632P,REL,REL-DT,PUS10,PEX13	nonCoding,coding	snRNA,misc_RNA,protein_coding,lncRNA	N
chr2:68260001-68580000	chr2	68260001	68580000	2p	p14	FRA2E	CNRIP1	4	CNRIP1,PLEK,FBXO48,APLF	coding,nonCoding	protein_coding	N
chr2:68860001-68950000	chr2	68860001	68950000	2p	p13.3	FRA2E	BMP10	2	GKN2,BMP10	coding	protein_coding	N
chr2:9560001-9730000	chr2	9560001	9730000	2p	p25.1			1	YWHAQ	coding	protein_coding	N
chr2:9920001-10190000	chr2	9920001	10190000	2p	p25.1			5	TAF1B,GRHL1,KLF11,CYS1,RRM2	coding,nonCoding	protein_coding	N
chr20:31710001-31790000	chr20	31710001	31790000	20q	q11.21		BCL2L1	4	BCL2L1,BCL2L1-AS1,ABALON,TPX2	coding,nonCoding	protein_coding,lncRNA	N
chr21:17590001-17630000	chr21	17590001	17630000	21q	q21.1			3	CXADR,BTG3,BTG3-AS1	coding,nonCoding	protein_coding,lncRNA	N
