region	chr	start	end	arm	cyto	CFS	ERFS	overlappedGeneNumDensity	genename	transcriptClass	geneType	largeGene
chr13:110080001-110600000	chr13	110080001	110600000	13q	q34			9	LINC03082,LINC03032,COL4A1,COL4A2,RN7SL783P,MIR8073,COL4A2-AS2,COL4A2-AS1,RAB20	nonCoding,coding	lncRNA,TEC,protein_coding,misc_RNA,miRNA	N
chr13:41820001-41990000	chr13	41820001	41990000	13q	q14.11			3	VWA8,RNU6-74P,VWA8-AS1	coding,nonCoding	protein_coding,snRNA,lncRNA	N
chr13:42150001-42410000	chr13	42150001	42410000	13q	q14.11			3	DGKH,AKAP11,LINC02341	coding,nonCoding	protein_coding,lncRNA	N
chr13:46240001-46400000	chr13	46240001	46400000	13q	q14.13		LRRC63	5	LRRC63,RN7SKP5,LINC00563,RUBCNL,RNU2-6P	coding,nonCoding	protein_coding,misc_RNA,lncRNA,snRNA	N
chr13:48500001-48980000	chr13	48500001	48980000	13q	q14.2		RCBTB2	6	LINC01077,RB1,LINC00462,CYSLTR2,FNDC3A,RCBTB2	nonCoding,coding	lncRNA,protein_coding	N
chr13:50000001-50100000	chr13	50000001	50100000	13q	q14.2			6	DLEU2,KCNRG,MIR16-1,MIR15A,TRIM13,DLEU1	nonCoding,coding	lncRNA,protein_coding,miRNA	N,Y
chr13:73770001-74590000	chr13	73770001	74590000	13q	q22.1			5	KLF12,LINC00402,RNY1P5,LINC00347,LINC00381	coding,nonCoding	protein_coding,lncRNA,misc_RNA	N
chr13:77380001-77620000	chr13	77380001	77620000	13q	q22.3		SCEL	2	SCEL,SCEL-AS1	coding,nonCoding	protein_coding,lncRNA	N
chr13:79340001-79590000	chr13	79340001	79590000	13q	q31.1			5	RBM26,NDFIP2-AS1,NDFIP2,LINC01068,RBM26-AS1	coding,nonCoding	protein_coding,lncRNA	N
chr14:30510001-30650000	chr14	30510001	30650000	14q	q12			3	G2E3-AS1,G2E3,SCFD1	nonCoding,coding	lncRNA,protein_coding	N
chr14:34740001-35080000	chr14	34740001	35080000	14q	q13.1		BAZ1A	5	BAZ1A,RNU7-41P,BAZ1A-AS1,SRP54,FAM177A1	coding,nonCoding	protein_coding,snRNA,lncRNA	N
chr14:50390001-50820000	chr14	50390001	50820000	14q	q21.3			6	CDKL1,MAP4K5,ATL1,SAV1,RN7SL452P,NIN	coding,nonCoding	protein_coding,misc_RNA	N
chr14:51870001-52240000	chr14	51870001	52240000	14q	q22.1		GNG2	4	GNG2,RTRAF,NID2,LINC02319	coding,nonCoding	protein_coding,lncRNA	N
chr14:52970001-53190000	chr14	52970001	53190000	14q	q22.1			2	DDHD1,DDHD1-DT	coding,nonCoding	protein_coding,lncRNA	N
chr14:58090001-58630000	chr14	58090001	58630000	14q	q23.1	FRA14B, FRA14C		12	ARMH4,RN7SL598P,ACTR10,PSMA3,PSMA3-AS1,LINC00216,RNU6-341P,ARID4A,TOMM20L-DT,TOMM20L,TIMM9,KIAA0586	coding,nonCoding	protein_coding,misc_RNA,lncRNA,snRNA	N
chr14:60050001-60210000	chr14	60050001	60210000	14q	q23.1	FRA14B, FRA14C		4	LRRC9,PCNX4-DT,PCNX4,DHRS7	coding,nonCoding	protein_coding,lncRNA	N
chr14:67930001-68510000	chr14	67930001	68510000	14q	q24.1	FRA14B, FRA14C		3	RAD51B,RN7SL706P,RN7SL108P	coding,nonCoding	protein_coding,misc_RNA	Y,N
chr14:70950001-71110000	chr14	70950001	71110000	14q	q24.2			1	PCNX1	nonCoding,coding	protein_coding	N
chr15:25140001-25240000	chr15	25140001	25240000	15q	q11.2			39	SNHG14,SNORD115-1,SNORD115-2,SNORD115-3,SNORD115-4,SNORD115-5,SNORD115-6,SNORD115-7,SNORD115-8,SNORD115-9,SNORD115-10,SNORD115-11,SNORD115-12,SNORD115-13,SNORD115-14,SNORD115-15,SNORD115-16,SNORD115-17,SNORD115-18,SNORD115-19,SNORD115-20,SNORD115-21,SNORD115-22,SNORD115-23,SNORD115-24,SNORD115-25,SNORD115-26,SNORD115-27,SNORD115-28,SNORD115-29,SNORD115-30,SNORD115-31,SNORD115-32,SNORD115-33,SNORD115-34,SNORD115-35,SNORD115-36,SNORD115-37,SNORD115-38	nonCoding	lncRNA,snoRNA	N
chr15:26330001-26460000	chr15	26330001	26460000	15q	q12			1	LINC02248	nonCoding	lncRNA	N
chr15:27470001-27970000	chr15	27470001	27970000	15q	q12			2	GABRG3,OCA2	coding,nonCoding	protein_coding	Y,N
chr15:52560001-52730000	chr15	52560001	52730000	15q	q21.2		ARPP19	2	ARPP19,ATOSA	coding,nonCoding	protein_coding	N
chr15:55170001-55250000	chr15	55170001	55250000	15q	q21.3			2	RSL24D1,RAB27A	coding,nonCoding	protein_coding	N
chr15:56630001-56780000	chr15	56630001	56780000	15q	q21.3			1	ZNF280D	coding,nonCoding	protein_coding	N
chr15:87860001-88300000	chr15	87860001	88300000	15q	q25.3			2	NTRK3,NTRK3-AS1	coding,nonCoding	protein_coding,lncRNA	N
chr15:90410001-90450000	chr15	90410001	90450000	15q	q26.1		IQGAP1	1	IQGAP1	coding,nonCoding	protein_coding	N
chr16:19850001-20390000	chr16	19850001	20390000	16p	p12.3			6	GPR139,GP2,IQCK,GPRC5B,UMOD,PDILT	coding,nonCoding	protein_coding	N
chr16:49510001-49850000	chr16	49510001	49850000	16q	q12.1			1	ZNF423	coding	protein_coding	N
chr16:5900001-6010000	chr16	5900001	6010000	16p	p13.3			1	RBFOX1	coding,nonCoding	protein_coding	Y
chr16:6160001-6730000	chr16	6160001	6730000	16p	p13.3			1	RBFOX1	coding,nonCoding	protein_coding	Y
chr17:11360001-11850000	chr17	11360001	11850000	17p	p12	FRA17A		2	SHISA6,DNAH9	coding,nonCoding	protein_coding	N
chr17:40630001-40950000	chr17	40630001	40950000	17q	q21.2			12	SMARCE1,KRT222,KRT24,KRT25,KRT26,KRT27,KRT28,KRT10,KRT10-AS1,KRT12,KRT20,KRT23	coding,nonCoding	protein_coding,lncRNA	N
chr17:48260001-48370000	chr17	48260001	48370000	17q	q21.32			2	SKAP1,SKAP1-AS2	coding,nonCoding	protein_coding,lncRNA	N
chr18:10050001-10360000	chr18	10050001	10360000	18p	p11.22			1				
chr18:12790001-13210000	chr18	12790001	13210000	18p	p11.21			4	PTPN2,SEH1L,CEP192-DT,CEP192	nonCoding,coding	protein_coding,lncRNA	N
chr18:23650001-23930000	chr18	23650001	23930000	18q	q11.2			2	ANKRD29,LAMA3	coding,nonCoding	protein_coding	N
chr18:34950001-35520000	chr18	34950001	35520000	18q	q12.1	FRA18A	MAPRE2	7	MAPRE2,ZNF397,ZSCAN30,ZNF24,ZNF396,ZNF24TR,INO80C	coding,nonCoding	protein_coding,lncRNA	N
chr18:37130001-37490000	chr18	37130001	37490000	18q	q12.2	FRA18A		2	KIAA1328,CELF4	coding,nonCoding	protein_coding	N
chr18:62090001-62290000	chr18	62090001	62290000	18q	q21.33	FRA18B		2	PIGN,RELCH	coding,nonCoding	protein_coding	N
chr18:78280001-78540000	chr18	78280001	78540000	18q	q23			1				
chr2:101670001-101700000	chr2	101670001	101700000	2q	q11.2	FRA2A	MAP4K4	1	MAP4K4	coding,nonCoding	protein_coding	N
chr2:119000001-119200000	chr2	119000001	119200000	2q	q14.2			2	RN7SL468P,C1QL2	nonCoding,coding	misc_RNA,protein_coding	N
chr2:144210001-144320000	chr2	144210001	144320000	2q	q22.3	FRA2K		1	GTDC1	coding,nonCoding	protein_coding	N
chr2:159840001-159980000	chr2	159840001	159980000	2q	q24.2			3	PLA2R1,LY75-CD302,LY75	coding,nonCoding	protein_coding	N
chr2:160980001-161220000	chr2	160980001	161220000	2q	q24.2		TANK	2	TANK-AS1,TANK	nonCoding,coding	lncRNA,protein_coding	N
chr2:167940001-168620000	chr2	167940001	168620000	2q	q24.3			6	CERS6,MIR4774,B3GALT1-AS1,STK39,RN7SL813P,RNU6-766P	coding,nonCoding	protein_coding,miRNA,lncRNA,misc_RNA,snRNA	N
chr2:170990001-171140000	chr2	170990001	171140000	2q	q31.1	FRA2G, FRA2H	TLK1	1	TLK1	coding,nonCoding	protein_coding	N
chr2:174840001-175240000	chr2	174840001	175240000	2q	q31.1	FRA2G, FRA2H		6	RNU6-763P,CHN1,ATP5MC3,RNU6-1290P,ATF2,MIR933	nonCoding,coding	snRNA,protein_coding,miRNA	N
chr2:177270001-177590000	chr2	177270001	177590000	2q	q31.2	FRA2G, FRA2H		4	TTC30B,NFE2L2,MIR6512,AGPS	coding,nonCoding	protein_coding,miRNA	N
chr2:181170001-181290000	chr2	181170001	181290000	2q	q31.3	FRA2G, FRA2H		1	LINC01934	nonCoding	lncRNA	N
chr2:200360001-200590000	chr2	200360001	200590000	2q	q33.1	FRA2I		5	SGO2,SPATS2L,RNY4P34,KCTD18,AOX1	coding,nonCoding	protein_coding,misc_RNA	N
chr2:213090001-213160000	chr2	213090001	213160000	2q	q34			2	IKZF2,LINC01953	coding,nonCoding	protein_coding,lncRNA	N
chr2:231040001-231160000	chr2	231040001	231160000	2q	q37.1		PSMD1, HTR2B	4	C2orf72,PSMD1,HTR2B,RNU1-93P	coding,nonCoding	protein_coding,snRNA	N
chr2:23750001-23900000	chr2	23750001	23900000	2p	p24.1			1	ATAD2B	coding,nonCoding	protein_coding	N
chr2:27650001-28100000	chr2	27650001	28100000	2p	p23.3			8	SLC4A1AP,LINC01460,GPN1,SUPT7L,BABAM2,MIR4263,MRPL33,RBKS	coding,nonCoding	protein_coding,lncRNA,miRNA	N
chr2:37410001-37710000	chr2	37410001	37710000	2p	p22.2			4	CDC42EP3,RNU6-1116P,LINC03063,CDC42EP3-AS1	coding,nonCoding	protein_coding,snRNA,lncRNA	N
chr2:48090001-48340000	chr2	48090001	48340000	2p	p16.3			2	RN7SKP224,FOXN2	nonCoding,coding	misc_RNA,protein_coding	N
chr2:60890001-60990000	chr2	60890001	60990000	2p	p16.1		REL	3	RNU4-51P,PUS10,REL	nonCoding,coding	snRNA,protein_coding	N
chr2:69700001-69880000	chr2	69700001	69880000	2p	p13.3	FRA2E		3	GMCL1,ANXA4,SMANTIS	coding,nonCoding	protein_coding,lncRNA	N
chr2:86330001-86640000	chr2	86330001	86640000	2p	p11.2			7	RNF103,CHMP3-AS1,REEP1,KDM3A,CHMP3,RNF103-CHMP3,RNU6-640P	coding,nonCoding	protein_coding,lncRNA,snRNA	N
chr20:34390001-34510000	chr20	34390001	34510000	20q	q11.22			4	ITCH,ITCH-AS1,ITCH-IT1,MIR644A	coding,nonCoding	protein_coding,lncRNA,miRNA	N
chr20:56710001-57000000	chr20	56710001	57000000	20q	q13.31			1	RNU6-929P	nonCoding	snRNA	N
chr20:61240001-61740000	chr20	61240001	61740000	20q	q13.33			1	CDH4	coding	protein_coding	Y
chr21:14380001-14570000	chr21	14380001	14570000	21q	q11.2		SAMSN1, SIK1	2	HSPA13,SAMSN1	coding,nonCoding	protein_coding	N
chr21:15630001-15880000	chr21	15630001	15880000	21q	q21.1			1	USP25	coding,nonCoding	protein_coding	N
chr21:25440001-25690000	chr21	25440001	25690000	21q	q21.2		SIK1, MRPL39	4	MIR155HG,MIR155,MRPL39,JAM2	nonCoding,coding	lncRNA,miRNA,protein_coding	N
chr21:28570001-29540000	chr21	28570001	29540000	21q	q21.3			13	N6AMT1,LTN1,RWDD2B,USP16,CCT8,MAP3K7CL,LINC00189,BACH1,BACH1-IT1,BACH1-AS1,BACH1-IT2,BACH1-IT3,GRIK1	coding,nonCoding	protein_coding,lncRNA	N
chr22:26870001-27290000	chr22	26870001	27290000	22q	q12.1			3	LINC01422,RNU6-1066P,LINC01638	nonCoding	lncRNA,snRNA	N
chr22:27500001-27720000	chr22	27500001	27720000	22q	q12.1			1	CPMER	nonCoding	lncRNA	N
chr22:32670001-32870000	chr22	32670001	32870000	22q	q12.3			2	SYN3,TIMP3	coding,nonCoding	protein_coding	Y,N
chr22:33420001-33620000	chr22	33420001	33620000	22q	q12.3			2	LARGE1,MIR4764	coding,nonCoding	protein_coding,miRNA	Y,N
chr22:34050001-34210000	chr22	34050001	34210000	22q	q12.3			1	LINC01643	nonCoding	lncRNA	N
chr3:105620001-106420000	chr3	105620001	106420000	3q	q13.11		CBLB	1	CBLB	coding,nonCoding	protein_coding	N
chr3:111930001-112090000	chr3	111930001	112090000	3q	q13.2			5	PHLDB2,ABHD10,TAGLN3,C3orf52,TMPRSS7	coding,nonCoding	protein_coding	N
chr3:112270001-112640000	chr3	112270001	112640000	3q	q13.2		CD200	6	SLC9C1,CD200,BTLA,SLC35A5,CCDC80,ATG3	coding,nonCoding	protein_coding	N
chr3:149730001-150050000	chr3	149730001	150050000	3q	q25.1	FRA3D		8	WWTR1,PFN2-AS1,ANKUB1,RNU6-507P,RNF13,COMMD2,PFN2,RNU6-720P	coding,nonCoding	protein_coding,lncRNA,snRNA	N
chr3:156480001-156560000	chr3	156480001	156560000	3q	q25.31	FRA3D		2	SSR3,KCNAB1	coding,nonCoding	protein_coding	N,Y
chr3:156590001-157070000	chr3	156590001	157070000	3q	q25.31	FRA3D	TIPARP	5	TIPARP-AS1,LEKR1,RN7SKP177,TIPARP,LINC00886	nonCoding,coding	lncRNA,protein_coding,misc_RNA	N
chr3:15670001-15810000	chr3	15670001	15810000	3p	p25.1			4	MIR3134,RN7SL4P,BTD,ANKRD28	nonCoding,coding	miRNA,misc_RNA,protein_coding	N
chr3:160210001-160630000	chr3	160210001	160630000	3q	q25.33	FRA3D		10	TRIM59,RNU7-136P,SMC4,IL12A-AS1,C3orf80,IFT80,MIR15B,MIR16-2,KPNA4,SCARNA7	coding,nonCoding	protein_coding,snRNA,lncRNA,miRNA,scaRNA	N
chr3:16330001-16660000	chr3	16330001	16660000	3p	p24.3		RFTN1	4	OXNAD1,LINC00690,DAZL,RFTN1	coding,nonCoding	protein_coding,lncRNA	N
chr3:16740001-16900000	chr3	16740001	16900000	3p	p24.3		PLCL2	1	PLCL2	coding	protein_coding	N
chr3:171390001-171450000	chr3	171390001	171450000	3q	q26.31			1	TNIK	coding,nonCoding	protein_coding	N
chr3:182760001-182870000	chr3	182760001	182870000	3q	q26.33		ATP11B	2	ATP11B-DT,ATP11B	nonCoding,coding	lncRNA,protein_coding	N
chr3:187950001-188080000	chr3	187950001	188080000	3q	q27.3	FRA3C		1	LINC01991	nonCoding	lncRNA	N
chr3:45660001-46120000	chr3	45660001	46120000	3p	p21.31		LIMD1	10	SACM1L,LIMD1,LIMD1-AS1,RN7SL145P,FYCO1,SLC6A20,LZTFL1,CCR9,CXCR6,XCR1	coding,nonCoding	protein_coding,lncRNA,misc_RNA	N
chr3:7290001-7680000	chr3	7290001	7680000	3p	p26.1			2	GRM7-AS1,GRM7	nonCoding,coding	lncRNA,protein_coding	N,Y
chr4:105150001-105300000	chr4	105150001	105300000	4q	q24		TET2	3	RN7SL89P,TET2,TET2-AS1	nonCoding,coding	misc_RNA,protein_coding,lncRNA	N
chr4:113510001-113820000	chr4	113510001	113820000	4q	q26		CAMK2D	1	CAMK2D	coding,nonCoding	protein_coding	N
chr4:122170001-122360000	chr4	122170001	122360000	4q	q27			1	BLTP1	coding,nonCoding	protein_coding	N
chr4:13020001-13190000	chr4	13020001	13190000	4p	p15.33	FRA4D, FRA4A		1				
